Query_No         Doc_id           Precision        Recal           
1                CACM-1923        0.0              0.0             
1                CACM-1846        0.0              0.0             
1                CACM-3105        0.0              0.0             
1                CACM-1747        0.0              0.0             
1                CACM-2484        0.0              0.0             
1                CACM-3132        0.0              0.0             
1                CACM-2849        0.0              0.0             
1                CACM-2289        0.0              0.0             
1                CACM-1489        0.0              0.0             
1                CACM-3156        0.0              0.0             
1                CACM-2931        0.0              0.0             
1                CACM-2406        0.0              0.0             
1                CACM-1957        0.0              0.0             
1                CACM-2314        0.0              0.0             
1                CACM-2902        0.0              0.0             
1                CACM-3103        0.0              0.0             
1                CACM-1456        0.0              0.0             
1                CACM-3125        0.0              0.0             
1                CACM-1698        0.0              0.0             
1                CACM-2986        0.0              0.0             
1                CACM-2949        0.0              0.0             
1                CACM-2906        0.0              0.0             
1                CACM-2439        0.0              0.0             
1                CACM-2771        0.0              0.0             
1                CACM-2957        0.0              0.0             
1                CACM-2342        0.0              0.0             
1                CACM-2969        0.0              0.0             
1                CACM-1200        0.0              0.0             
1                CACM-1680        0.0              0.0             
1                CACM-3040        0.0              0.0             
1                CACM-1457        0.0              0.0             
1                CACM-2838        0.0              0.0             
1                CACM-2470        0.0              0.0             
1                CACM-2345        0.0              0.0             
1                CACM-3077        0.0              0.0             
1                CACM-3141        0.0              0.0             
1                CACM-3128        0.0              0.0             
1                CACM-2833        0.0              0.0             
1                CACM-1462        0.0              0.0             
1                CACM-3043        0.0              0.0             
1                CACM-3148        0.0              0.0             
1                CACM-3142        0.0              0.0             
1                CACM-2265        0.0              0.0             
1                CACM-2402        0.0              0.0             
1                CACM-2767        0.0              0.0             
1                CACM-1572        0.0217391304348  0.2             
1                CACM-2188        0.0212765957447  0.2             
1                CACM-2988        0.0208333333333  0.2             
1                CACM-1432        0.0204081632653  0.2             
1                CACM-2317        0.02             0.2             
1                CACM-2815        0.0196078431373  0.2             
1                CACM-2424        0.0192307692308  0.2             
1                CACM-2883        0.0188679245283  0.2             
1                CACM-2177        0.0185185185185  0.2             
1                CACM-2368        0.0181818181818  0.2             
1                CACM-2828        0.0178571428571  0.2             
1                CACM-1988        0.0175438596491  0.2             
1                CACM-3069        0.0172413793103  0.2             
1                CACM-0616        0.0169491525424  0.2             
1                CACM-2522        0.0166666666667  0.2             
1                CACM-2711        0.016393442623   0.2             
1                CACM-0265        0.0161290322581  0.2             
1                CACM-2558        0.015873015873   0.2             
1                CACM-3127        0.015625         0.2             
1                CACM-1930        0.0153846153846  0.2             
1                CACM-1135        0.0151515151515  0.2             
1                CACM-2195        0.0149253731343  0.2             
1                CACM-2722        0.0147058823529  0.2             
1                CACM-2912        0.0144927536232  0.2             
1                CACM-2939        0.0142857142857  0.2             
1                CACM-1948        0.0140845070423  0.2             
1                CACM-1309        0.0138888888889  0.2             
1                CACM-2372        0.013698630137   0.2             
1                CACM-2951        0.0135135135135  0.2             
1                CACM-2716        0.0133333333333  0.2             
1                CACM-2900        0.0131578947368  0.2             
1                CACM-3134        0.012987012987   0.2             
1                CACM-3026        0.0128205128205  0.2             
1                CACM-1728        0.0126582278481  0.2             
1                CACM-2852        0.0125           0.2             
1                CACM-1699        0.0123456790123  0.2             
1                CACM-3150        0.0121951219512  0.2             
1                CACM-0695        0.0120481927711  0.2             
1                CACM-1886        0.0119047619048  0.2             
1                CACM-2812        0.0117647058824  0.2             
1                CACM-2379        0.0116279069767  0.2             
1                CACM-2092        0.0114942528736  0.2             
1                CACM-1677        0.0113636363636  0.2             
1                CACM-1828        0.0112359550562  0.2             
1                CACM-2645        0.0111111111111  0.2             
1                CACM-0409        0.010989010989   0.2             
1                CACM-2947        0.0108695652174  0.2             
1                CACM-2421        0.010752688172   0.2             
1                CACM-2888        0.0106382978723  0.2             
1                CACM-2138        0.0105263157895  0.2             
1                CACM-3153        0.0104166666667  0.2             
1                CACM-2535        0.0103092783505  0.2             
1                CACM-2320        0.0102040816327  0.2             
1                CACM-3032        0.010101010101   0.2             
1                CACM-1324        0.01             0.2             
Query_No         Doc_id           Precision        Recal           
2                CACM-1923        0.0              0.0             
2                CACM-1846        0.0              0.0             
2                CACM-1747        0.0              0.0             
2                CACM-3105        0.0              0.0             
2                CACM-2484        0.0              0.0             
2                CACM-2849        0.0              0.0             
2                CACM-3132        0.0              0.0             
2                CACM-2289        0.0              0.0             
2                CACM-1489        0.0              0.0             
2                CACM-2931        0.0              0.0             
2                CACM-3156        0.0              0.0             
2                CACM-2406        0.0              0.0             
2                CACM-1957        0.0              0.0             
2                CACM-2314        0.0              0.0             
2                CACM-2902        0.0              0.0             
2                CACM-3103        0.0              0.0             
2                CACM-2986        0.0              0.0             
2                CACM-3125        0.0              0.0             
2                CACM-2906        0.0              0.0             
2                CACM-1456        0.0              0.0             
2                CACM-2439        0.0              0.0             
2                CACM-1698        0.0              0.0             
2                CACM-2949        0.0              0.0             
2                CACM-2771        0.0              0.0             
2                CACM-2342        0.0              0.0             
2                CACM-1200        0.0              0.0             
2                CACM-2969        0.0              0.0             
2                CACM-2957        0.0              0.0             
2                CACM-1680        0.0              0.0             
2                CACM-3040        0.0              0.0             
2                CACM-1457        0.0              0.0             
2                CACM-2470        0.0              0.0             
2                CACM-2838        0.0              0.0             
2                CACM-3077        0.0              0.0             
2                CACM-2345        0.0              0.0             
2                CACM-3141        0.0              0.0             
2                CACM-1462        0.0              0.0             
2                CACM-2833        0.0              0.0             
2                CACM-3128        0.0              0.0             
2                CACM-3043        0.0              0.0             
2                CACM-3142        0.0              0.0             
2                CACM-2265        0.0              0.0             
2                CACM-3148        0.0              0.0             
2                CACM-2402        0.0              0.0             
2                CACM-1572        0.0              0.0             
2                CACM-2177        0.0              0.0             
2                CACM-2188        0.0              0.0             
2                CACM-1432        0.0              0.0             
2                CACM-2767        0.0              0.0             
2                CACM-2317        0.0              0.0             
2                CACM-2815        0.0              0.0             
2                CACM-2368        0.0              0.0             
2                CACM-0616        0.0              0.0             
2                CACM-2988        0.0              0.0             
2                CACM-2424        0.0              0.0             
2                CACM-2828        0.0              0.0             
2                CACM-1988        0.0              0.0             
2                CACM-2883        0.0              0.0             
2                CACM-3069        0.0              0.0             
2                CACM-2711        0.0              0.0             
2                CACM-3127        0.0              0.0             
2                CACM-1930        0.0              0.0             
2                CACM-2939        0.0              0.0             
2                CACM-2195        0.0              0.0             
2                CACM-1309        0.0              0.0             
2                CACM-2522        0.0              0.0             
2                CACM-2912        0.0              0.0             
2                CACM-0265        0.0              0.0             
2                CACM-2558        0.0              0.0             
2                CACM-1135        0.0              0.0             
2                CACM-2722        0.0              0.0             
2                CACM-1948        0.0              0.0             
2                CACM-2852        0.0              0.0             
2                CACM-2900        0.0              0.0             
2                CACM-2951        0.0              0.0             
2                CACM-2716        0.0              0.0             
2                CACM-3026        0.0              0.0             
2                CACM-2372        0.0              0.0             
2                CACM-2812        0.0              0.0             
2                CACM-1728        0.0              0.0             
2                CACM-0695        0.0              0.0             
2                CACM-3134        0.0              0.0             
2                CACM-1886        0.0              0.0             
2                CACM-2379        0.0              0.0             
2                CACM-1264        0.0              0.0             
2                CACM-1699        0.0              0.0             
2                CACM-2645        0.0              0.0             
2                CACM-1677        0.0              0.0             
2                CACM-2421        0.0              0.0             
2                CACM-2092        0.0              0.0             
2                CACM-3150        0.0              0.0             
2                CACM-2002        0.0              0.0             
2                CACM-2947        0.0              0.0             
2                CACM-3153        0.0              0.0             
2                CACM-1828        0.0              0.0             
2                CACM-1519        0.0              0.0             
2                CACM-2138        0.0              0.0             
2                CACM-2535        0.0              0.0             
2                CACM-2888        0.0              0.0             
2                CACM-0409        0.0              0.0             
Query_No         Doc_id           Precision        Recal           
3                CACM-1923        0.0              0.0             
3                CACM-1846        0.0              0.0             
3                CACM-3105        0.0              0.0             
3                CACM-1747        0.0              0.0             
3                CACM-2484        0.0              0.0             
3                CACM-3132        0.0              0.0             
3                CACM-2849        0.0              0.0             
3                CACM-2289        0.0              0.0             
3                CACM-1489        0.0              0.0             
3                CACM-2406        0.0              0.0             
3                CACM-2931        0.0              0.0             
3                CACM-3156        0.0              0.0             
3                CACM-1957        0.0              0.0             
3                CACM-2314        0.0              0.0             
3                CACM-2902        0.0              0.0             
3                CACM-3103        0.0              0.0             
3                CACM-1456        0.0              0.0             
3                CACM-2906        0.0              0.0             
3                CACM-2986        0.0              0.0             
3                CACM-2439        0.0              0.0             
3                CACM-3125        0.0              0.0             
3                CACM-2949        0.0              0.0             
3                CACM-1698        0.0              0.0             
3                CACM-2771        0.0              0.0             
3                CACM-1200        0.0              0.0             
3                CACM-2342        0.0              0.0             
3                CACM-2957        0.0              0.0             
3                CACM-1680        0.0              0.0             
3                CACM-1457        0.0              0.0             
3                CACM-2969        0.0              0.0             
3                CACM-2470        0.0              0.0             
3                CACM-3040        0.0              0.0             
3                CACM-2838        0.0              0.0             
3                CACM-3077        0.0              0.0             
3                CACM-2345        0.0              0.0             
3                CACM-3141        0.0              0.0             
3                CACM-3043        0.0              0.0             
3                CACM-1462        0.0              0.0             
3                CACM-2833        0.0              0.0             
3                CACM-3128        0.0              0.0             
3                CACM-3148        0.0              0.0             
3                CACM-2265        0.0              0.0             
3                CACM-1572        0.0              0.0             
3                CACM-3142        0.0              0.0             
3                CACM-2402        0.0              0.0             
3                CACM-2317        0.0              0.0             
3                CACM-2767        0.0              0.0             
3                CACM-2188        0.0              0.0             
3                CACM-1432        0.0              0.0             
3                CACM-2177        0.0              0.0             
3                CACM-2424        0.0              0.0             
3                CACM-2815        0.0              0.0             
3                CACM-1988        0.0              0.0             
3                CACM-2939        0.0              0.0             
3                CACM-2368        0.0              0.0             
3                CACM-0616        0.0              0.0             
3                CACM-2988        0.0              0.0             
3                CACM-2828        0.0              0.0             
3                CACM-3069        0.0              0.0             
3                CACM-2883        0.0              0.0             
3                CACM-1930        0.0              0.0             
3                CACM-2558        0.0              0.0             
3                CACM-1309        0.0              0.0             
3                CACM-2711        0.0              0.0             
3                CACM-0265        0.0              0.0             
3                CACM-1135        0.0              0.0             
3                CACM-3127        0.0              0.0             
3                CACM-2195        0.0              0.0             
3                CACM-2912        0.0              0.0             
3                CACM-2522        0.0              0.0             
3                CACM-2722        0.0              0.0             
3                CACM-2372        0.0              0.0             
3                CACM-3026        0.0              0.0             
3                CACM-1948        0.0              0.0             
3                CACM-2852        0.0              0.0             
3                CACM-2900        0.0              0.0             
3                CACM-2716        0.0              0.0             
3                CACM-2951        0.0              0.0             
3                CACM-1728        0.0              0.0             
3                CACM-2645        0.0              0.0             
3                CACM-0695        0.0              0.0             
3                CACM-3150        0.0              0.0             
3                CACM-2812        0.0              0.0             
3                CACM-2421        0.0              0.0             
3                CACM-3134        0.0              0.0             
3                CACM-2138        0.0              0.0             
3                CACM-1886        0.0              0.0             
3                CACM-2379        0.0              0.0             
3                CACM-1264        0.0              0.0             
3                CACM-2947        0.0              0.0             
3                CACM-1699        0.0              0.0             
3                CACM-2092        0.0              0.0             
3                CACM-2320        0.0              0.0             
3                CACM-1677        0.0              0.0             
3                CACM-2002        0.0              0.0             
3                CACM-2888        0.0              0.0             
3                CACM-0409        0.0              0.0             
3                CACM-1931        0.0              0.0             
3                CACM-1828        0.0              0.0             
3                CACM-3153        0.0              0.0             
Query_No         Doc_id           Precision        Recal           
4                CACM-1923        0.0              0.0             
4                CACM-1846        0.0              0.0             
4                CACM-3105        0.0              0.0             
4                CACM-1747        0.0              0.0             
4                CACM-2849        0.0              0.0             
4                CACM-3132        0.0              0.0             
4                CACM-2484        0.0              0.0             
4                CACM-2931        0.0              0.0             
4                CACM-2406        0.0              0.0             
4                CACM-2314        0.0              0.0             
4                CACM-2289        0.0              0.0             
4                CACM-3103        0.0              0.0             
4                CACM-1489        0.0              0.0             
4                CACM-3156        0.0              0.0             
4                CACM-1957        0.0              0.0             
4                CACM-2902        0.0              0.0             
4                CACM-2439        0.0              0.0             
4                CACM-2342        0.0              0.0             
4                CACM-1456        0.0              0.0             
4                CACM-2906        0.0              0.0             
4                CACM-1698        0.0              0.0             
4                CACM-2969        0.0              0.0             
4                CACM-3043        0.0434782608696  0.0208333333333 
4                CACM-2949        0.0416666666667  0.0208333333333 
4                CACM-2986        0.04             0.0208333333333 
4                CACM-3125        0.0384615384615  0.0208333333333 
4                CACM-3128        0.0740740740741  0.0416666666667 
4                CACM-1200        0.0714285714286  0.0416666666667 
4                CACM-2771        0.0689655172414  0.0416666666667 
4                CACM-2957        0.0666666666667  0.0416666666667 
4                CACM-3141        0.0645161290323  0.0416666666667 
4                CACM-1680        0.0625           0.0416666666667 
4                CACM-2470        0.0606060606061  0.0416666666667 
4                CACM-1457        0.0588235294118  0.0416666666667 
4                CACM-3040        0.0571428571429  0.0416666666667 
4                CACM-3077        0.0555555555556  0.0416666666667 
4                CACM-2939        0.0540540540541  0.0416666666667 
4                CACM-2838        0.0526315789474  0.0416666666667 
4                CACM-2345        0.0512820512821  0.0416666666667 
